hex,risk,max_interval_dk,ziyaret_sayisi,ortalama_aralik_dk,ihlal_riski
H1925,5.95,251.05263157894734,3,480.0,VAR
H1931,6.7,227.36842105263156,27,53.333333333333336,YOK
H1937,6.25,241.57894736842104,30,48.0,YOK
H1943,5.8,255.78947368421052,5,288.0,VAR
H1949,3.85,317.36842105263156,4,360.0,VAR
H1955,6.1,246.31578947368422,9,160.0,YOK
H1961,3.4,331.57894736842104,3,480.0,VAR
H1967,2.5,360.0,5,288.0,YOK
H2021,5.5,265.2631578947368,3,480.0,VAR
H2027,5.35,270.0,8,180.0,YOK
H2033,6.25,241.57894736842104,25,57.6,YOK
H2039,3.4,331.57894736842104,1,1440.0,VAR
H2045,3.85,317.36842105263156,3,480.0,VAR
H2051,5.65,260.52631578947364,3,480.0,VAR
H2057,5.65,260.52631578947364,4,360.0,VAR
H2063,3.4,331.57894736842104,3,480.0,VAR
H2069,2.95,345.7894736842105,1,1440.0,VAR
H2129,5.5,265.2631578947368,3,480.0,VAR
H2135,3.85,317.36842105263156,3,480.0,VAR
H2141,3.85,317.36842105263156,2,720.0,VAR
H2147,4.3,303.1578947368421,2,720.0,VAR
H2153,5.65,260.52631578947364,5,288.0,VAR
H2159,5.65,260.52631578947364,2,720.0,VAR
H2165,4.3,303.1578947368421,2,720.0,VAR
H2171,3.85,317.36842105263156,2,720.0,VAR
H2225,4.6,293.6842105263158,2,720.0,VAR
H2231,5.05,279.4736842105263,6,240.0,YOK
H2237,3.85,317.36842105263156,3,480.0,VAR
H2243,3.85,317.36842105263156,3,480.0,VAR
H2249,4.3,303.1578947368421,8,180.0,YOK
H2255,4.75,288.9473684210526,2,720.0,VAR
H2261,5.35,270.0,6,240.0,YOK
H2267,3.4,331.57894736842104,1,1440.0,VAR
H2273,5.35,270.0,4,360.0,VAR
H2327,3.7,322.1052631578947,2,720.0,VAR
H2333,5.05,279.4736842105263,3,480.0,VAR
H2339,5.05,279.4736842105263,3,480.0,VAR
H2345,3.85,317.36842105263156,3,480.0,VAR
H2351,4.75,288.9473684210526,6,240.0,YOK
H2357,5.8,255.78947368421052,6,240.0,YOK
H2363,5.35,270.0,4,360.0,VAR
H2369,5.35,270.0,3,480.0,VAR
H2375,5.35,270.0,6,240.0,YOK
H2381,4.9,284.2105263157895,4,360.0,VAR
H2429,5.05,279.4736842105263,4,360.0,VAR
H2435,5.05,279.4736842105263,3,480.0,VAR
H2441,4.3,303.1578947368421,2,720.0,VAR
H2447,5.8,255.78947368421052,10,144.0,YOK
H2453,4.45,298.42105263157896,2,720.0,VAR
H2459,3.4,331.57894736842104,7,205.71428571428572,YOK
H2465,5.8,255.78947368421052,4,360.0,VAR
H2471,6.1,246.31578947368422,11,130.9090909090909,YOK
H2477,3.4,331.57894736842104,3,480.0,VAR
H2531,5.05,279.4736842105263,3,480.0,VAR
H2537,7.75,194.21052631578945,24,60.0,YOK
H2543,4.3,303.1578947368421,2,720.0,VAR
H2549,4.3,303.1578947368421,2,720.0,VAR
H2555,4.9,284.2105263157895,3,480.0,VAR
H2561,4.45,298.42105263157896,2,720.0,VAR
H2567,5.35,270.0,8,180.0,YOK
H2573,6.55,232.10526315789474,23,62.608695652173914,YOK
H2579,5.8,255.78947368421052,4,360.0,VAR
H2585,2.5,360.0,4,360.0,YOK
H2633,7.75,194.21052631578945,24,60.0,YOK
H2639,5.8,255.78947368421052,5,288.0,VAR
H2645,3.85,317.36842105263156,2,720.0,VAR
H2651,5.2,274.7368421052631,2,720.0,VAR
H2657,4.75,288.9473684210526,4,360.0,VAR
H2663,4.9,284.2105263157895,3,480.0,VAR
H2669,5.8,255.78947368421052,4,360.0,VAR
H2675,6.55,232.10526315789474,23,62.608695652173914,YOK
H2681,2.5,360.0,2,720.0,VAR
H2735,5.05,279.4736842105263,3,480.0,VAR
H2741,8.2,180.0,22,65.45454545454545,YOK
H2747,4.6,293.6842105263158,3,480.0,VAR
H2753,4.9,284.2105263157895,4,360.0,VAR
H2759,5.35,270.0,4,360.0,VAR
H2765,5.35,270.0,3,480.0,VAR
H2771,4.3,303.1578947368421,2,720.0,VAR
H2777,4.3,303.1578947368421,3,480.0,VAR
H2783,5.8,255.78947368421052,3,480.0,VAR
H2789,5.2,274.7368421052631,6,240.0,YOK
H2837,5.05,279.4736842105263,3,480.0,VAR
H2843,5.8,255.78947368421052,4,360.0,VAR
H2849,5.8,255.78947368421052,3,480.0,VAR
H2855,4.9,284.2105263157895,2,720.0,VAR
H2861,4.15,307.89473684210526,2,720.0,VAR
H2867,5.35,270.0,2,720.0,VAR
H2873,6.25,241.57894736842104,31,46.45161290322581,YOK
H2879,3.85,317.36842105263156,2,720.0,VAR
H2885,2.5,360.0,4,360.0,YOK
H2939,4.6,293.6842105263158,2,720.0,VAR
H2945,5.8,255.78947368421052,4,360.0,VAR
H2951,6.25,241.57894736842104,3,480.0,VAR
H2957,5.8,255.78947368421052,5,288.0,VAR
H2963,3.7,322.1052631578947,2,720.0,VAR
H2969,4.9,284.2105263157895,3,480.0,VAR
H2975,5.65,260.52631578947364,5,288.0,VAR
H2981,5.35,270.0,8,180.0,YOK
H2987,4.9,284.2105263157895,7,205.71428571428572,YOK
H2993,4.75,288.9473684210526,4,360.0,VAR
H3041,4.6,293.6842105263158,3,480.0,VAR
H3047,6.25,241.57894736842104,6,240.0,YOK
H3053,5.8,255.78947368421052,5,288.0,VAR
H3059,4.6,293.6842105263158,2,720.0,VAR
H3065,5.35,270.0,7,205.71428571428572,YOK
H3071,4.9,284.2105263157895,3,480.0,VAR
H3077,4.9,284.2105263157895,2,720.0,VAR
H3083,4.9,284.2105263157895,2,720.0,VAR
H3089,5.65,260.52631578947364,6,240.0,YOK
